X,Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Overseas ($mill),Overseas%,Profit ($mill),Profit%,Runtime (min),US ($mill),Gross % US
312,Wednesday,Renny Harlin,action,Die Hard 2: Die Harder,4/7/1990,Fox,436.7,70,240,7.1,3.42,122.5,51,170,242.9,124,117.5,49
313,Friday,Richard Donner,action,Lethal Weapon 2,7/7/1989,WB,437.1,25,227.9,7.2,3.29,80.6,35.4,203,811.6,114,147.3,64.6
314,Friday,Alex Proyas,sci-fi,"I, Robot",16/07/2004,Fox,437.1,105,347.2,7.1,3.46,202.4,58.3,242,230.7,115,144.8,41.7
315,Friday,Jon Turteltaub,adventure,National Treasure,19/11/2004,Buena Vista Studios,437.5,100,347.5,6.9,3.42,174.5,50.2,248,247.5,131,173,49.8
316,Wednesday,Adrian Lyne,drama,Indecent Proposal,7/4/1993,Paramount Pictures,438.7,38,266.6,5.8,2.85,160,60,229,601.6,117,106.6,40
317,Wednesday,Len Wiseman,action,Live Free or Die Hard,27/06/2007,Fox,439.9,110,383.5,7.2,3.58,249,64.9,274,248.6,128,134.5,35.1
318,Tuesday,Quentin Tarantino,adventure,Django Unchained,25/12/2012,Weinstein Company,440.6,100,425.4,8.5,4.04,262.6,61.7,325,325.4,165,162.8,38.3
319,Friday,Brad Peyton,action,San Andreas,29/05/2015,WB,441.2,110,441.2,6.6,2.84,299.2,67.8,331,301.1,114,142,32.2
320,Friday,Garry Marshall,comedy,Runaway Bride,30/07/1999,Paramount Pictures,441.8,70,309.5,6.6,3.46,157.2,50.8,240,342.1,116,152.3,49.2
321,Friday,Rob Cohen,action,The Mummy: Tomb of the Dragon Emperor,1/8/2008,Universal,443,175,401.1,5.2,2.63,298.6,74.4,226,129.2,112,102.5,25.6
322,Friday,P. J. Hogan,comedy,My Best Friend's Wedding,20/06/1997,Sony,443.5,46,299.3,7.1,3.33,172.2,57.5,253,550.7,105,127.1,42.5
323,Friday,"Barry Cook, Tony Bancroft",animation,Mulan,19/06/1998,Buena Vista Studios,444,90,304.3,7.5,2.84,183.7,60.4,214,238.1,88,120.6,39.6
324,Wednesday,Sydney Pollack,thriller,The Firm,30/06/1993,Paramount Pictures,444.7,42,270.2,6.8,3.5,111.9,41.4,228,543.3,154,158.3,58.6
325,Thursday,Robert Zemeckis,action,Back to the Future Part III,24/05/1990,Universal,444.9,40,244.5,7.4,3.24,156.8,64.1,205,511.3,118,87.7,35.9
326,Thursday,Jay Roach,comedy,Austin Powers: The Spy Who Shagged Me,10/6/1999,New Line Cinema,445.3,35,312,6.6,3.21,106,34,277,791.4,95,206,66
327,Friday,Emile Ardolino,drama,Dirty Dancing,21/08/1987,Vestron Pictures,448,6,214,6.8,3.22,150,70.1,208,3466.7,100,64,29.9
328,Friday,Andy Tennant,comedy,Hitch,11/2/2005,Sony,448.2,55,368.1,8.2,3.94,188.6,51.2,313,569.3,118,179.5,48.8
329,Friday,Tom Shadyac,comedy,Liar Liar,21/03/1997,Universal,448.5,45,302.7,6.8,3.21,121.3,40.1,258,572.7,86,181.4,59.9
330,Friday,"Brad Silberling, Phil Nibbelink",comedy,Casper,26/05/1995,Universal,449.2,55,287.9,6,2.9,187.6,65.2,233,423.5,100,100.3,34.8
331,Wednesday,"Olivier Nakache, Eric Toledano",drama,The Intouchables,2/11/2011,Weinstein Company,451,10,426.6,8.6,4.14,416.4,97.6,417,4166,112,10.2,2.4
332,Friday,Tom Hooper,biography,The King's Speech,26/11/2010,Weinstein Company,451.7,15,414.2,8.1,4.02,275.4,66.5,399,2661.3,118,138.8,33.5
333,Friday,Tim Burton,action,Batman Returns,19/06/1992,WB,452.2,80,266.8,7,3.09,104,39,187,233.5,126,162.8,61
334,Friday,Peter Weir,drama,Dead Poets Society,2/6/1989,Buena Vista Studios,452.4,16,235.9,8,3.89,140,59.4,220,1338.4,128,95.9,40.6
335,Friday,"George Miller, Warren Coleman, Judy Morris",animation,Happy Feet,17/11/2006,WB,453.3,85,384.3,6.5,3.13,186.3,48.5,299,352.1,108,198,51.5
336,Friday,Michael Apted,adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader,10/12/2010,Fox,453.3,155,415.7,6.4,3.36,311.3,74.9,261,168.2,113,104.4,25.1
337,Friday,Wolfgang Petersen,action,The Perfect Storm,30/06/2000,WB,453.9,120,328.7,6.4,3.08,146.1,44.4,209,173.9,130,182.6,55.6
338,Wednesday,Christopher Nolan,action,Batman Begins,15/06/2005,WB,455.6,150,374.2,8.3,3.97,167.4,44.7,224,149.5,140,206.9,55.3
339,Friday,Steven Soderbergh,thriller,Ocean's Twelve,10/12/2004,WB,456.6,85,362.7,6.4,3.25,237.2,65.4,278,326.7,125,125.5,34.6
340,Tuesday,Tom Hooper,drama,Les Miserables (2012),25/12/2012,Universal,457.6,61,441.8,6,2.92,293,66.3,381,624.3,158,148.8,33.7
341,Friday,Shawn Levy,comedy,Night at the Museum: Battle of the Smithsonian,22/05/2009,Fox,457.9,150,413.1,5.9,3.01,235.9,57.1,263,175.4,104,177.2,42.9
342,Friday,Michael Patrick King,comedy,Sex and the City,30/05/2008,WB/New Line,458.7,58,415.3,6.9,2.93,262.6,63.2,358,622.3,145,152.6,36.8
343,Friday,Gavin Hood,action,The Wolverine,1/5/2009,Fox,459.8,150,414.8,6.7,3.24,282.3,68,265,176.5,107,132.6,32
344,Friday,Luc Besson,action,Lucy,25/07/2014,Universal,461,40,458.9,6.4,3.05,332.2,72.4,419,1047.3,89,126.7,27.6
345,Wednesday,Bryan Singer,action,Superman Returns,28/06/2006,WB,461.3,232,391.1,6.1,3.12,191,48.8,159,68.6,154,200.1,51.2
346,Friday,"Bibo Bergeron, Rob Letterman, Vicky Jenson",animation,Shark Tale,1/10/2004,DreamWorks,462.4,75,367.3,6,2.91,206.4,56.2,292,389.7,90,160.9,43.8
347,Friday,Andrew Adamson,action,The Chronicles of Narnia: Prince Caspian,16/05/2008,Buena Vista Studios,463.6,225,419.7,6.6,3.31,278,66.3,195,86.5,150,141.6,33.7
348,Wednesday,Steven Spielberg,biography,Catch Me If You Can,25/12/2002,DreamWorks,465.4,52,352.1,8,3.85,187.5,53.2,300,577.1,141,164.6,46.8
349,Wednesday,James L. Brooks,comedy,As Good as It Gets,24/12/1997,Sony,465.5,50,314.2,7.8,3.79,165.7,52.7,264,528.4,139,148.5,47.3
350,Friday,Brett Ratner,comedy,Rush Hour 2,3/8/2001,New Line Cinema,466.3,90,347.3,6.6,3.23,121.2,34.9,257,285.9,90,226.2,65.1
351,Friday,Wolfgang Petersen,action,Air Force One,25/07/1997,Sony,467,85,315.2,6.4,3.33,142.2,45.1,230,270.8,124,173,54.9
352,Friday,Ron Howard,thriller,Ransom,8/11/1996,Buena Vista Studios,469.1,70,309.5,5.4,2.88,173,55.9,240,342.1,121,136.5,44.1
353,Friday,J. J. Abrams,action,Mission: Impossible III,5/5/2006,Paramount Pictures,469.4,150,397.9,6.8,3.31,263.8,66.3,248,165.3,126,134,33.7
354,Friday,"Phil Lord, Chris Miller",animation,The LEGO Movie,7/2/2014,WB,470.9,60,468.8,7.8,3.75,211,45,409,681.3,100,257.8,55
355,Friday,Ridley Scott,thriller,Hannibal,9/2/2001,MGM,472.3,87,351.7,8.7,3.15,186.6,53.1,265,304.3,131,165.1,46.9
356,Friday,Steven Spielberg,sci-fi,Minority Report,21/06/2002,Fox,473.8,102,358.4,7.7,3.66,226.3,63.1,256,251.4,145,132.1,36.9
357,Friday,Kenneth Branagh,action,Thor,6/5/2011,Paramount Pictures,475,150,449.3,7,3.51,268.3,59.7,299,199.5,115,181,40.3
358,Friday,Paul Verhoeven,action,Total Recall,1/6/1990,Sony,475.4,65,261.3,7.5,3.18,141.9,54.3,196,302,113,119.4,45.7
359,Thursday,Jonathan Demme,thriller,The Silence of the Lambs,14/02/1991,Orion,476.1,20,272.7,8.6,4.18,142,52.1,253,1263.5,118,130.7,47.9
360,Friday,Ron Howard,comedy,How the Grinch Stole Christmas,17/11/2000,Universal,476.6,123,345.1,6,2.91,85.1,24.7,222,180.6,104,260,75.3
361,Wednesday,J. J. Abrams,action,Star Trek Into Darkness,15/05/2013,Paramount Pictures,477.1,190,467.4,7.8,3.82,238.6,51.1,277,146,132,228.8,48.9
362,Wednesday,"John Cornell, Mark Turnbull",action,Crocodile Dundee II,25/05/1988,Paramount Pictures,481.6,14,239.6,5.5,2.57,130.3,54.4,226,1611.4,108,109.3,45.6
363,Friday,"Eric Leighton, Ralph Zondag",animation,Dinosaur,19/05/2000,Buena Vista Studios,483.1,128,349.8,6.4,3.12,212.1,60.6,222,174.4,82,137.7,39.4
364,Wednesday,Stephen Herek,animation,101 Dalmatians (1996),27/11/1996,Buena Vista Studios,486.1,75,320.7,5.6,3.1,184.5,57.5,246,327.6,103,136.2,42.5
365,Friday,Tim Burton,action,Planet of the Apes (2001),27/07/2001,Fox,486.4,100,362.2,5.7,2.74,182.2,50.3,262,262.2,119,180,49.7
366,Friday,Jonathan Liebesman,action,Teenage Mutant Ninja Turtles (2014),8/8/2014,Paramount Pictures,487.2,125,485,7.9,3.84,293.8,60.6,360,288,101,191.2,39.4
367,Friday,Joel Zwick,comedy,My Big Fat Greek Wedding,19/04/2002,IFC,487.4,5,368.7,6.6,3.46,127.3,34.5,364,7274,95,241.4,65.5
368,Friday,Rob Cohen,action,Fast and Furious,22/06/2001,Universal,487.7,38,363.2,6.7,2.88,208.1,57.3,325,855.8,106,155.1,42.7
369,Friday,Rich Moore,animation,Wreck-It Ralph,2/11/2012,Buena Vista Studios,488.1,165,471.2,7.8,3.82,281.8,59.8,306,185.6,101,189.4,40.2
370,Wednesday,Betty Thomas,animation,Alvin and the Chipmunks: The Squeakquel,23/12/2009,Fox,491.2,70,443.1,4.4,2.13,223.5,50.4,373,533,88,219.6,49.6
371,Friday,"Gary Trousdale, Kirk Wise",animation,The Hunchback of Notre Dame,21/06/1996,Buena Vista Studios,493,100,325.3,6.8,3.3,225.2,69.2,225,225.3,91,100.1,30.8
372,Friday,Roger Spottiswoode,action,Tomorrow Never Dies,19/12/1997,MGM,493.4,110,333,6.5,3.23,207.7,62.4,223,202.7,119,125.3,37.6
373,Wednesday,Joe Johnston,action,Jurassic Park III,18/07/2001,Universal,495.2,93,368.8,5.9,2.65,187.6,50.9,276,296.6,92,181.2,49.1
374,Friday,Carlos Saldanha,animation,Rio 2,11/4/2014,Fox,502.5,130,500.2,6.4,3.08,368.7,73.7,370,284.8,101,131.5,26.3
375,Friday,Sam Raimi,adventure,Oz The Great and Powerful,8/3/2013,Buena Vista Studios,503.6,200,493.3,6.4,2.99,258.4,52.4,293,146.7,130,234.9,47.6
376,Friday,Michael Bay,action,The Rock,7/6/1996,Buena Vista Studios,507.9,75,335.1,7.4,3.7,201,60,260,346.8,136,134.1,40
377,Friday,Paul Greengrass,action,The Bourne Ultimatum,3/8/2007,Universal,508,130,442.8,8.1,3.98,215.4,48.6,313,240.6,115,227.5,51.4
378,Wednesday,Sam Mendes,drama,American Beauty,15/09/1999,DreamWorks,508.6,15,356.3,8.4,4.17,226.2,63.5,341,2275.3,122,130.1,36.5
379,Friday,Rupert Wyatt,sci-fi,Rise of the Planet of the Apes,5/8/2011,Fox,509.4,93,481.8,8.6,4.07,305,63.3,389,418.1,105,176.8,36.7
380,Friday,Mimi Leder,action,Deep Impact,8/5/1998,Paramount Pictures,509.9,80,349.5,6.1,2.95,209,59.8,270,336.9,120,140.5,40.2
381,Friday,David Fincher,crime,Seven,22/09/1995,New Line Cinema,510.7,30,327.3,8.7,4.05,227.2,69.4,297,991,127,100.1,30.6
382,Friday,Carlos Saldanha,animation,Rio,15/04/2011,Fox,512.3,90,484.6,7,3.36,341,70.4,395,438.4,96,143.6,29.6
383,Friday,Michael Apted,action,The World Is Not Enough,19/11/1999,MGM,516.4,135,361.8,6.4,3.2,234.9,64.9,227,168,128,126.9,35.1
384,Friday,Nancy Meyers,comedy,What Women Want,15/12/2000,Paramount Pictures,516.6,65,374.1,6.4,3.14,191.3,51.1,309,475.5,127,182.8,48.9
385,Friday,Todd Phillips,comedy,The Hangover,5/6/2009,WB,518.2,35,467.5,7.8,3.77,190.2,40.7,433,1235.7,100,277.3,59.3
386,Friday,Roger Michell,comedy,Notting Hill,28/05/1999,Universal,519.4,42,363.9,7,3.45,247.8,68.1,322,766.4,124,116.1,31.9
387,Friday,Zack Snyder,action,300,9/3/2007,WB,523.2,60,456.1,7.8,3.68,245.5,53.8,396,660.2,117,210.6,46.2
388,Friday,Jon Turteltaub,action,National Treasure: Book of Secrets,21/12/2007,Buena Vista Studios,524.7,130,457.4,6.5,3.3,237.4,51.9,327,251.9,124,220,48.1
389,Friday,Joel Schumacher,action,Batman Forever,16/06/1995,WB,525.1,100,336.5,5.4,2.92,152.5,45.3,237,236.5,121,184,54.7
390,Wednesday,Steven Spielberg,adventure,Hook,11/12/1991,TriStar,525.4,70,300.9,6.7,3.18,181.2,60.2,231,329.9,144,119.7,39.8
391,Thursday,Bryan Singer,action,X2: X-Men United,24/04/2003,Fox,526.9,110,407.7,7.5,3.68,192.8,47.3,298,270.6,134,214.9,52.7
392,Wednesday,Steven Spielberg,biography,Schindler's List,15/12/1993,Universal,528.8,25,321.3,8.9,4.31,225.2,70.1,296,1185.2,195,96.1,29.9
393,Wednesday,John Lasseter,animation,A Bug's Life,25/11/1998,Buena Vista Studios,530.2,120,363.4,7.2,3.61,200.6,55.2,243,202.8,96,162.8,44.8
394,Friday,Gareth Edwards,action,Godzilla (2014),16/05/2014,WB,531.1,160,528.7,6.5,2.96,328,62,369,230.4,123,200.7,38
395,Friday,Louis Leterrier,action,Clash of the Titans,2/4/2010,WB,537.9,125,493.2,5.8,2.8,330,66.9,368,294.6,106,163.2,33.1
396,Friday,Ron Howard,thriller,Angels & Demons,15/05/2009,Sony,538.6,150,485.9,6.7,3.28,352.6,72.6,336,223.9,138,133.4,27.4
397,Friday,Kenneth Branagh,drama,Cinderella,13/03/2015,Buena Vista Studios,539,95,539,7.3,3.48,338.7,62.8,444,467.4,105,200.3,37.2
398,Friday,M. Night Shyamalan,drama,Signs,2/8/2002,Buena Vista Studios,539.6,71,408.2,6.7,3.27,180.3,44.2,338,477.4,106,228,55.8
399,Wednesday,"Bobby Farrelly, Peter Farrelly",comedy,There's Something About Mary,15/07/1998,Fox,539.7,22,369.9,7.1,3.55,193.4,52.3,348,1581.4,119,176.5,47.7
400,Friday,"Chris Sanders, Dean DeBlois",animation,How to Train Your Dragon,26/03/2010,Pacific Data/DreamWorks,539.7,165,494.9,8.2,4.01,277.3,56,330,199.9,98,217.6,44
401,Friday,"Mike Babriel, Eric Goldberg",animation,Pocahontas,23/06/1995,Buena Vista Studios,540.1,75,346.1,6.6,2.94,204.5,59.1,271,361.5,81,141.6,40.9
402,Friday,Brett Ratner,action,X-Men: The Last Stand,26/05/2006,Fox,541.9,150,459.4,6.8,3.36,225,49,309,206.3,104,234.4,51
403,Friday,"John Lasseter, Joe Ranft",animation,Cars,9/6/2006,Buena Vista Studios,545,70,462,7.2,3.51,217.9,47.2,392,560,117,244.1,52.8
404,Friday,Richard Donner,action,Lethal Weapon 3,15/05/1992,WB,545.3,35,321.7,6.7,3.28,177,55,287,819.1,118,144.7,45
405,Friday,Brian Levant,comedy,The Flintstones,27/05/1994,Universal,548.1,45,341.6,4.8,2.43,211.1,61.8,297,659.1,91,130.5,38.2
406,Friday,Martin Campbell,action,GoldenEye,17/11/1995,MGM,549.6,60,352.2,7.2,3.44,245.8,69.8,292,487,130,106.4,30.2
407,Thursday,Clint Eastwood,action,American Sniper,25/12/2014,WB,549.6,58,547.1,7.4,3.5,197,36,489,843.3,132,350.1,64
408,Friday,Marc Forster,sci-fi,World War Z,21/06/2013,Paramount Pictures,551.2,190,540,7,3.36,337.6,62.5,350,184.2,116,202.4,37.5
409,Wednesday,"Andy Wachowski, Lana Wachowski",sci-fi,The Matrix Revolutions,5/11/2003,WB,552.3,110,427.3,6.7,3.15,288,67.4,317,288.5,129,139.3,32.6
410,Wednesday,Gareth Edwards,action,Godzilla,20/05/1998,Sony,552.9,160,379,6.5,2.96,242.7,64,219,136.9,123,136.3,36
411,Friday,Ron Howard,adventure,Apollo 13,30/06/1995,Universal,554.3,65,355.2,7.6,3.88,181.4,51.1,290,446.5,140,173.8,48.9
412,Friday,Richard Stanley,drama,Brave,22/06/2012,Buena Vista Studios,558.3,185,539,7.2,3.59,301.7,56,354,191.4,50,237.3,44
413,Friday,Stephen Sommers,action,The Mummy,4/5/2001,Universal,558.5,98,415.9,7,1.5,260.5,62.6,318,324.4,130,155.4,37.4
414,Tuesday,Jonathan Mostow,action,Terminator 3: Rise of the Machines,1/7/2003,WB,560.1,170,433.4,6.4,3.12,283,65.3,263,154.9,109,150.4,34.7
415,Friday,Greg MacGillivray,action,Speed,10/6/1994,Fox,562.3,30,350.4,7.2,3.5,229.2,65.4,320,1068,30,121.2,34.6
416,Friday,Charles Russell,comedy,The Mask,29/07/1994,New Line Cinema,564.2,23,351.6,6.8,3.18,231.6,65.9,329,1428.7,101,119.9,34.1
417,Wednesday,John Lasseter,animation,Toy Story,22/11/1995,Buena Vista Studios,564.9,30,362,8.3,3.92,170.2,47,332,1106.7,80,191.8,53
418,Friday,Seth MacFarlane,comedy,Ted,29/06/2012,Universal,569,50,549.4,7,3.35,330.6,60.2,499,998.8,106,218.8,39.8
419,Friday,Amy Heckerling,romance,Look Who's Talking,13/10/1989,TriStar,569.6,8,297,5.8,2.67,156.9,52.8,290,3860,93,140.1,47.2
420,Friday,Sam Taylor-Wood,drama,Fifty Shades of Grey,13/02/2015,Universal,569.7,40,569.7,4.2,1.95,403.5,70.8,530,1324.3,125,166.2,29.2
421,Friday,Lee Tamahori,action,Die Another Day,22/11/2002,MGM,571,142,432,6.1,3.14,271,62.7,290,204.2,133,160.9,37.3
422,Friday,John McTiernan,action,Die Hard: With A Vengeance,19/05/1995,Fox,571.3,90,366.1,7.6,3.49,266.1,72.7,276,306.8,131,100,27.3
423,Friday,Andrew Stanton,animation,WALL-E,27/06/2008,Buena Vista Studios,575.8,180,521.3,8.4,4.04,297.5,57.1,341,189.6,98,223.8,42.9
424,Friday,Guy Ritchie,action,Sherlock Holmes: A Game of Shadows,16/12/2011,WB,576.6,125,545.4,7.5,3.8,358.6,65.7,420,336.3,129,186.8,34.3
425,Friday,Shawn Levy,adventure,Night at the Museum,19/12/2014,Fox,577.1,127,574.5,6.4,3.13,323.6,56.3,448,352.4,98,250.9,43.7
426,Friday,Tim Burton,adventure,Charlie and the Chocolate Factory,15/07/2005,WB,578.4,150,475,6.7,3.36,268.5,56.5,325,216.7,115,206.5,43.5
427,Wednesday,John Landis,comedy,Coming to America,29/06/1988,Paramount Pictures,580.5,39,288.8,6.9,3.5,160.6,55.6,250,640.5,116,128.2,44.4
428,Friday,Guy Ritchie,action,Sherlock Holmes,25/12/2009,WB,580.8,90,524,7.6,3.79,315,60.1,434,482.2,128,209,39.9
429,Friday,Stephen Sommers,action,The Mummy Returns,4/5/2001,Universal,581.4,98,433,6.3,2.94,231,53.3,335,341.8,130,202,46.7
430,Friday,Doug Liman,action,Mr. & Mrs. Smith,10/6/2005,Fox,582.3,110,478.2,6.5,3.26,291.9,61,368,334.7,120,186.3,39
431,Wednesday,Barry Sonnenfeld,action,Men in Black II,3/7/2002,Sony,584,140,441.8,7.6,3.61,251.4,56.9,302,215.6,88,190.4,43.1
432,Friday,Chris Miller,animation,Puss in Boots,28/10/2011,Pacific Data/DreamWorks,586.7,130,555,6.7,3.4,405.7,73.1,425,326.9,90,149.3,26.9
433,Friday,Edward Zwick,action,The Last Samurai,5/12/2003,WB,590.4,120,456.8,7.7,3.7,345.6,75.7,337,280.7,154,111.1,24.3
434,Friday,"Brad Lewis, John Lasseter",animation,Cars 2,24/06/2011,Buena Vista Studios,591.9,200,559.9,6.3,3.05,368.4,65.8,360,180,106,191.5,34.2
435,Friday,"Chris Renaud, Pierre Coffin",animation,Despicable Me,9/7/2010,Universal,592.3,69,543.1,7.7,3.81,291.6,53.7,474,687.1,95,251.5,46.3
436,Friday,Robert Zemeckis,adventure,Cast Away,22/12/2000,Fox,593.3,85,429.6,7.7,3.62,196,45.6,345,405.4,143,233.6,54.4
437,Friday,Raja Gosnell,animation,The Smurfs,29/07/2011,Sony,595.9,110,563.7,5.5,2.43,421.1,74.7,454,412.5,103,142.6,25.3
438,Friday,Paul Verhoeven,mystery,Basic Instinct,20/03/1992,TriStar,598.2,49,352.9,6.9,3.35,235.2,66.6,304,620.2,127,117.7,33.4
439,Friday,"Kirk DeMicco, Chris Sanders",animation,The Croods,22/03/2013,Fox,599.4,135,587.2,7.3,3.41,400,68.1,452,335,98,187.2,31.9
440,Friday,Michael Bay,action,Pearl Harbor,25/05/2001,Buena Vista Studios,603.2,152,449.2,6,2.85,250.7,55.8,298,196.5,183,198.5,44.2
441,Friday,David Silverman,animation,The Simpsons Movie,27/07/2007,Fox,604.7,73,527.1,7.4,3.51,343.9,65.3,455,627,87,183.1,34.7
442,Friday,Lewis Milestone,thriller,Ocean's Eleven,7/12/2001,WB,605.2,85,450.7,7.8,3.79,267.3,59.3,366,430.2,127,183.4,40.7
443,Friday,Andrew Davis,action,The Fugitive,6/8/1993,WB,607.1,44,368.9,7.8,3.99,185,50.2,325,738.4,130,183.9,49.8
444,Friday,James Cameron,action,True Lies,15/07/1994,Fox,608,100,378.9,7.2,3.5,232.6,61.4,279,278.9,141,146.3,38.6
445,Friday,Chris Columbus,comedy,Home Alone 2: Lost in New York,20/11/1992,Fox,608.5,20,359,6.5,2.52,185.4,51.6,339,1695,120,173.6,48.4
446,Thursday,Todd Phillips,comedy,The Hangover Part II,26/05/2011,WB,620.4,80,586.8,6.5,3.09,332.3,56.6,507,633.5,102,254.5,43.4
447,Friday,Dean DeBlois,animation,How to Train Your Dragon 2,13/06/2014,Fox,621.7,145,618.9,7.9,3.73,441.9,71.4,474,326.8,102,177,28.6
448,Friday,Wolfgang Petersen,action,Troy,14/05/2004,WB,626.2,150,497.4,7.2,3.32,364,73.2,347,231.6,163,133.4,26.8
449,Friday,Tom Shadyac,comedy,Bruce Almighty,23/05/2003,Universal,626.3,81,484.6,6.7,3.22,241.8,49.9,404,498.3,101,242.8,50.1
450,Wednesday,Tony Scott,action,Beverly Hills Cop II,20/05/1987,Paramount Pictures,628,20,300,6.4,3.07,146.3,48.8,280,1400,100,153.7,51.2
451,Wednesday,Ang Lee,adventure,Life of Pi,21/11/2012,Fox,630.8,120,609,8,3.8,484,79.5,489,407.5,127,125,20.5
452,Friday,Ridley Scott,action,Gladiator,5/5/2000,DreamWorks,631.9,103,457.6,8.5,3.96,269.9,59,355,344.3,155,187.7,41
453,Wednesday,John Woo,action,Mission: Impossible,24/05/2000,Paramount Pictures,632.1,120,457.7,7.1,3.39,276.7,60.5,338,281.4,123,181,39.5
454,Wednesday,Robert Zemeckis,adventure,Back to the Future Part II,22/11/1989,Universal,636.7,40,332,7.8,3.44,213.5,64.3,292,730,108,118.5,35.7
455,Wednesday,"Kevin Lima, Chris Buck",animation,Tarzan,16/06/1999,Buena Vista Studios,639.8,130,448.2,7.2,3.46,277.1,61.8,318,244.8,88,171.1,38.2
456,Wednesday,"Byron Howard, Nathan Greno",animation,Tangled,24/11/2010,Buena Vista Studios,645.4,260,591.8,7.8,3.85,391,66.1,332,127.6,100,200.8,33.9
457,Friday,Barry Sonnenfeld,action,MIB 3,25/05/2012,Sony,646.3,215,624,6.9,3.41,445,71.3,409,190.2,106,179,28.7
458,Friday,Jon Favreau,action,Iron Man,2/5/2008,Paramount Pictures,646.4,186,585.2,7.9,3.92,266.8,45.6,399,214.6,126,318.4,54.4
459,Friday,Marc Forster,action,Quantum of Solace,14/11/2008,Sony,647.4,230,586.1,6.7,3.38,417.7,71.3,356,154.8,106,168.4,28.7
460,Friday,"Tom McGrath, Eric Darnell",animation,Madagascar,27/05/2005,DreamWorks,648.6,75,532.7,6.9,3.1,339.1,63.7,458,610.3,86,193.6,36.3
461,Wednesday,Jay Roach,comedy,Meet the Fockers,22/12/2004,Universal,650.3,60,516.6,6.3,3.11,237.4,45.9,457,761,115,279.3,54.1
462,Friday,"Andrew Adamson, Vicky Jenson",animation,Shrek,18/05/2001,DreamWorks,650.4,50,484.4,7.9,3.85,216.7,44.7,434,868.8,90,267.7,55.3
463,Friday,"Christopher Williams, Don Hall",animation,Big Hero 6,7/11/2014,Buena Vista Studios,655,165,652.1,7.9,3.82,429.6,65.9,487,295.2,102,222.5,34.1
464,Friday,Alan Taylor,action,Thor: The Dark World,8/11/2013,Buena Vista Studios,658.2,170,644.8,7.1,3.51,438.4,68,475,279.3,112,206.4,32
465,Wednesday,"Andy Wachowski, Lana Wachowski",action,The Matrix,31/03/1999,WB,661.6,65,463.5,8.7,4.19,292,63,399,613.1,136,171.5,37
